pl_name,hostname,pl_rade,pl_dens,pl_orbeccen,pl_eqt,pl_orbsmax,st_teff,st_mass,st_age,LSS
Kepler-764 b,Kepler-764,1.64,1.6389967146756448,0.0,875.0,0.0724,5557.0,0.9200000000000002,4.17,0.42843269005178874
Kepler-765 b,Kepler-765,2.43,1.247032293786383,0.0,641.0,0.1754,5901.0,1.05,3.72,0.3838437962881221
Kepler-766 b,Kepler-766,3.39,0.959350221334602,0.0,990.0,0.066,5992.0,1.1,3.63,0.27334747687941313
Kepler-767 b,Kepler-767,6.64,0.5128236264286637,0.0,366.0,0.5874000000000001,5694.0,0.96,4.07,0.3921923738819569
Kepler-768 b,Kepler-768,1.79,1.547562508716013,0.0,618.0,0.092,5108.0,0.8200000000000001,4.57,0.4627433680206974
Kepler-769 b,Kepler-769,2.92,1.0818051703517284,0.0,1037.0,0.0778,6186.0,1.19,2.88,0.2811388527655033
Kepler-769 c,Kepler-769,1.79,1.547562508716013,0.0,803.0,0.1297,6186.0,1.19,2.88,0.41944317355303123
Kepler-77 b,Kepler-77,10.761,0.4718768736274158,0.0,1440.0,0.04501,5520.0,0.95,7.5,0.2243031732539319
Kepler-770 b,Kepler-770,2.3,1.297463147413275,0.0,1171.0,0.1693999999999999,5598.0,0.94,4.57,0.3294455182805349
Kepler-770 d,Kepler-770,1.4,1.8066480817218056,0.0,1941.0,0.0616,5598.0,0.94,4.57,0.4150943605371382
Kepler-771 b,Kepler-771,1.82,1.5303947050936475,0.0,890.0,0.0843,5906.0,1.03,3.72,0.3992117364773521
Kepler-772 b,Kepler-772,1.82,1.5303947050936475,0.0,866.0,0.11153,5714.0,0.98,8.13,0.40372906579106305
Kepler-773 b,Kepler-773,1.43,1.7817091333745536,0.0,1160.0,0.04682,5850.0,1.04,2.82,0.41875720130382893
Kepler-774 b,Kepler-774,3.17,1.015230679729059,0.0,1422.0,0.1082,6403.0,1.5700000000000005,2.14,0.25176553633793075
Kepler-775 b,Kepler-775,1.19,1.9315214116032136,0.0,1612.0,0.01834,5468.0,0.9200000000000002,1.86,0.4169816637710605
Kepler-776 b,Kepler-776,1.28,1.9035989509835904,0.0,904.0,0.0523,5071.0,0.83,4.37,0.45874182539983
Kepler-777 b,Kepler-777,1.47,1.752672080520008,0.0,569.0,0.0519,4043.0,0.58,3.16,0.4964510866415832
