pl_name,hostname,pl_rade,pl_orbeccen,pl_eqt,pl_orbsmax,st_teff,st_lum,st_mass,st_age,pl_bmasse,pl_dens,pl_insol,pl_orbper,st_rad
TIC 237913194 b,TIC 237913194,12.520453,0.575,974.0,0.1207,5788.0,0.07773,1.026,5.7,6.426853859945733,1.0462658082959004,4.4353967709315825,2.783087479412413,0.7362066700203923
TIC 257060897 b,TIC 257060897,17.26183028,0.039,1775.0,0.04922,5993.0,0.60531,1.187,5.6,5.310755738470334,0.1947440767925117,7.498623247344675,1.5390232571199398,1.051870026115978
TIC 279401253 b,TIC 279401253,11.2089807,0.448,488.9,0.369,5951.0,0.09691,1.13,1.2,7.576848682580021,2.1529243184396396,2.936918924549145,4.354141431184346,0.7227059828014898
TIC 279401253 c,TIC 279401253,12.6,0.254,540.1,0.591,5951.0,0.09691,1.13,1.2,7.843842294657842,2.0794415416798357,2.954332635847054,5.051777237427431,0.7227059828014898
TIC 365102760 b,TIC 365102760,6.21,0.406,1446.38,0.0622,4900.0,0.707,1.17,6.3,3.005682604407159,0.3625576070968879,6.589149858731642,1.6511274351829006,1.4182774069729414
TIC 434398831 b,TIC 434398831,3.51,0.04,1250.0,0.04641,5638.0,-0.14351,0.992,0.061,2.5726122302071057,0.9321640810304452,5.896132617130068,1.5444734872789545,0.6465795447436106
TIC 434398831 c,TIC 434398831,5.63,0.013,1050.0,0.06572,5638.0,-0.14351,0.992,0.061,3.332204510175204,0.6048622656923737,5.348553256465351,1.9755093110926536,0.6465795447436106
TIC 46432937 b,TIC 46432937,13.31626907,0.009,872.0,0.02065,3572.0,-1.3851,0.563,7.4,6.925645198217956,1.2149127443642704,4.514479764926142,0.8921805103611729,0.42520237379119624
TIC 4672985 b,TIC 4672985,11.5004142,0.018,517.2,0.33,5757.0,0.11394,1.01,7.71,8.306505222561423,2.747270914255491,3.038096918488777,4.249180721340452,0.7654678421395714
TIC 88785435 b,TIC 88785435,5.03,0.131,635.0,0.08432,3998.0,-0.69596,0.724,0.016,3.148453360571655,0.674473915294324,3.570252638301684,2.44311569639535,0.647626665258136
